conf_int,d,d_bias,d_SE,d_ci_LL,d_ci_UL
ci_0.80,-0.565473429324234,0.0013161892719135704,0.1652959604926909,-0.7767326835451889,-0.3523943434390879
ci_0.95,-0.565473429324234,0.0013161892719135704,0.1652959604926909,-0.9067263564567385,-0.24986451026146564
