conf_int,d,d_bias,d_SE,d_ci_LL,d_ci_UL
ci_0.80,-0.2930855931887423,-0.0010441508524685061,0.11956301049868485,-0.444654372361784,-0.14571392053885307
ci_0.95,-0.2930855931887423,-0.0010441508524685061,0.11956301049868485,-0.5586932590018644,-0.07371206270544443
