conf_int,d,d_bias,d_SE,d_ci_LL,d_ci_UL
ci_0.80,-0.6087918534932001,0.0012647054724534978,0.16731740951213198,-0.8227745268417749,-0.39457166138410305
ci_0.95,-0.6087918534932001,0.0012647054724534978,0.16731740951213198,-0.9565506777671307,-0.292700608559355
