conf_int,d,d_bias,d_SE,d_ci_LL,d_ci_UL
ci_0.80,-0.3458582292196589,-1.5735733959992837e-4,0.13378538374241422,-0.5158898593191173,-0.1774213022822099
ci_0.95,-0.3458582292196589,-1.5735733959992837e-4,0.13378538374241422,-0.6436053976960445,-0.09546384369791104
